"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"8001","94 EXCHANGE ST, New Haven, CT, ","Match","Exact","94 Exchange St, NEW HAVEN, CT, 06513","-72.89261,41.307884",3703866,"L",9,9,142300,2009
"8002","90 EXCHANGE ST, New Haven, CT, ","Match","Exact","90 Exchange St, NEW HAVEN, CT, 06513","-72.89246,41.307907",3703866,"L",9,9,142300,2009
"8003","86 EXCHANGE ST, New Haven, CT, ","Match","Exact","86 Exchange St, NEW HAVEN, CT, 06513","-72.89231,41.307926",3703866,"L",9,9,142300,2009
"8004","84 EXCHANGE ST, New Haven, CT, ","Match","Exact","84 Exchange St, NEW HAVEN, CT, 06513","-72.89224,41.307938",3703866,"L",9,9,142300,2009
"8005","80 EXCHANGE ST, New Haven, CT, ","Match","Exact","80 Exchange St, NEW HAVEN, CT, 06513","-72.89209,41.307957",3703866,"L",9,9,142300,2009
"8006","76 EXCHANGE ST, New Haven, CT, ","Match","Exact","76 Exchange St, NEW HAVEN, CT, 06513","-72.891945,41.30798",3703866,"L",9,9,142300,2009
"8007","118 GRAND AV, New Haven, CT, ","Match","Exact","118 Grand Ave, NEW HAVEN, CT, 06513","-72.89422,41.30908",604740844,"L",9,9,142300,2008
"8008","GRAND AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"8009","116 EAST PEARL ST, New Haven, CT, ","Match","Exact","116 E Pearl St, NEW HAVEN, CT, 06513","-72.89148,41.308292",3703859,"L",9,9,142300,2008
"8010","112 EAST PEARL ST, New Haven, CT, ","Match","Exact","112 E Pearl St, NEW HAVEN, CT, 06513","-72.89148,41.308243",3703859,"L",9,9,142300,2008
"8011","108 EAST PEARL ST, New Haven, CT, ","Match","Exact","108 E Pearl St, NEW HAVEN, CT, 06513","-72.89148,41.308197",3703859,"L",9,9,142300,2008
"8012","102 EAST PEARL ST, New Haven, CT, ","Match","Exact","102 E Pearl St, NEW HAVEN, CT, 06513","-72.89149,41.308125",3703859,"L",9,9,142300,2008
"8013","75 EXCHANGE ST, New Haven, CT, ","Match","Exact","75 Exchange St, NEW HAVEN, CT, 06513","-72.891975,41.308002",3703866,"R",9,9,142300,2008
"8014","79 EXCHANGE ST, New Haven, CT, ","Match","Exact","79 Exchange St, NEW HAVEN, CT, 06513","-72.89213,41.30798",3703866,"R",9,9,142300,2008
"8015","81 EXCHANGE ST, New Haven, CT, ","Match","Exact","81 Exchange St, NEW HAVEN, CT, 06513","-72.89221,41.30797",3703866,"R",9,9,142300,2008
"8016","83 EXCHANGE ST, New Haven, CT, ","Match","Exact","83 Exchange St, NEW HAVEN, CT, 06513","-72.89229,41.307957",3703866,"R",9,9,142300,2008
"8017","91 EXCHANGE ST, New Haven, CT, ","Match","Exact","91 Exchange St, NEW HAVEN, CT, 06513","-72.8926,41.307915",3703866,"R",9,9,142300,2008
"8018","164 GRAND AV, New Haven, CT, ","Match","Exact","164 Grand Ave, NEW HAVEN, CT, 06513","-72.89485,41.309025",3703698,"L",9,9,142300,2008
"8019","182 GRAND AV, New Haven, CT, ","Match","Exact","182 Grand Ave, NEW HAVEN, CT, 06513","-72.895065,41.309006",3703698,"L",9,9,142300,2008
"8020","127 EXCHANGE ST, New Haven, CT, ","Match","Exact","127 Exchange St, NEW HAVEN, CT, 06513","-72.89403,41.307713",3703866,"R",9,9,142300,2008
"8021","131 EXCHANGE ST, New Haven, CT, ","Match","Exact","131 Exchange St, NEW HAVEN, CT, 06513","-72.89419,41.30769",3703866,"R",9,9,142300,2008
"8022","137 EXCHANGE ST, New Haven, CT, ","Match","Exact","137 Exchange St, NEW HAVEN, CT, 06513","-72.894424,41.30766",3703866,"R",9,9,142300,2008
"8023","141 EXCHANGE ST, New Haven, CT, ","Match","Exact","141 Exchange St, NEW HAVEN, CT, 06513","-72.894585,41.307636",3703866,"R",9,9,142300,2008
"8024","287 FERRY ST, New Haven, CT, ","Match","Exact","287 Ferry St, NEW HAVEN, CT, 06513","-72.8952,41.30783",3703699,"R",9,9,142300,2008
"8025","184 GRAND AV, New Haven, CT, ","Match","Exact","184 Grand Ave, NEW HAVEN, CT, 06513","-72.89509,41.309002",3703698,"L",9,9,142300,2008
"8026","325 FERRY ST, New Haven, CT, ","Match","Exact","325 Ferry St, NEW HAVEN, CT, 06513","-72.89543,41.30886",3703699,"R",9,9,142300,2008
"8027","291 FERRY ST, New Haven, CT, ","Match","Exact","291 Ferry St, NEW HAVEN, CT, 06513","-72.895226,41.30794",3703699,"R",9,9,142300,2008
"8028","132 GRAND AV, New Haven, CT, ","Match","Exact","132 Grand Ave, NEW HAVEN, CT, 06513","-72.89448,41.309055",3703698,"L",9,9,142300,2008
"8029","126 GRAND AV, New Haven, CT, ","Match","Exact","126 Grand Ave, NEW HAVEN, CT, 06513","-72.89441,41.309063",3703698,"L",9,9,142300,2008
"8030","RIVER ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"8031","24 RIVER ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"8032","RIVER ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"8033","2 RIVER ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"8034","17 FRONT ST, New Haven, CT, ","Match","Exact","17 Front St, NEW HAVEN, CT, 06513","-72.89233,41.304543",3740024,"L",9,9,142300,2003
"8035","39 FRONT ST, New Haven, CT, ","Match","Exact","39 Front St, NEW HAVEN, CT, 06513","-72.89197,41.304714",3740024,"L",9,9,142300,2003
